year,inflation,gdp_actual,gdp_predicted
2023,33.8847763115546,3.76028052279247,5.0372416917965195
2022,13.8956609775178,6.58784560886967,4.465302373263563
2021,5.21404940513043,3.29064601202211,4.216899433788586
2020,5.04493288977539,3.55016483786838,4.212060581096584
2019,9.15279959324804,5.55209307156956,4.329597072519384
2018,14.4014657807422,5.3311086189448,4.47977473232661
2017,29.5066083940039,4.18122099994778,4.91197119666245
2016,13.813606214829,4.34664345555447,4.4629545782626145
2015,10.370490343517,4.37201907790141,4.364438295167534
2014,10.0702154687481,2.91591187985748,4.35584666895607
2013,9.46971981064921,2.18546605362143,4.338664964226482
2012,7.11172943343083,2.22619979863525,4.271196875373288
2011,10.0649259874818,1.7645719489982,4.3556953234732765
2010,11.2651882653185,5.1472348575531,4.390037873294769
2009,11.7634954386443,4.67359979952391,4.404295706138765
2008,18.3168316831684,7.15628356605819,4.591803287298612
2007,9.3189690579923,7.08782742681038,4.33435160261432
2006,7.64452644526434,6.84383819379117,4.286441550026076
2005,4.86939696871988,4.47174447174434,4.207038052916181
2004,11.270619332052,4.0920716112534,4.3901932698970985
2003,4.50777636319304,3.19345473739745,4.196691169663158
2002,2.73723855000334,2.39020402573726,4.146031589517143
2001,2.26975720475956,3.53525197391507,4.132655761845054
2000,2.68380535348546,6.37000382991766,4.1445027301608
