date,inflation,type,lower_bound,upper_bound,horizon
2025-06-01,13.9,actual,,,0
2025-07-01,13.1,actual,,,0
2025-08-01,12.0,actual,,,0
2025-09-01,11.7,actual,,,0
2025-10-01,12.5,actual,,,0
2025-11-01,12.3,actual,,,0
2025-12-01,12.3,actual,,,0
2026-01-01,13.23048457142857,forecast,12.642484571428572,13.81848457142857,1
2026-02-01,13.808775314285715,forecast,12.977217739610335,14.640332888961094,2
2026-03-01,14.378370902857142,forecast,13.359925028006643,15.396816777707642,3
2026-04-01,14.957749398857143,forecast,13.781749398857142,16.13374939885714,4
2026-05-01,15.552128696457142,forecast,14.237320725687265,16.86693666722702,5
2026-06-01,16.139474995017142,forecast,14.699175026260633,17.57977496377365,6
