date,year,egypt_inflation,egypt_purchasing_power,morocco_inflation,morocco_purchasing_power,algeria_inflation,algeria_purchasing_power
2010-01-01,2010,11.26518827,100.0,1.0,100.0,3.9,100.0
2011-01-01,2011,10.06492599,90.85546471823872,0.9,99.0,4.5,96.1
2012-01-01,2012,7.111729433,84.82307698623256,1.3,98.109,8.9,91.7755
2013-01-01,2013,9.469719811,77.48542440108554,1.9,96.833583,3.3,83.6074805
2014-01-01,2014,10.07021547,70.39635933319713,0.4,94.993744923,2.9,80.84843364349999
2015-01-01,2015,10.37049034,63.78186697942429,1.6,94.613769943308,4.8,78.50382906783848
2016-01-01,2016,13.81360621,56.0406344226884,1.6,93.09994962421509,6.4,74.73564527258223
2017-01-01,2017,29.50660839,43.27241298291589,0.8,91.61035043022764,5.6,69.95256397513697
2018-01-01,2018,14.40146578,37.82505118083976,1.9,90.8774676267858,4.3,66.0352203925293
2019-01-01,2019,9.152799593,34.65330373740179,0.2,89.15079574187686,2.0,63.195705915650535
2020-01-01,2020,5.04493289,32.98902934584167,0.7,88.9724941503931,2.4,61.93179179733752
2021-01-01,2021,5.214049405,31.354205576535826,1.4,88.34968669134035,7.23,60.44542879420143
2022-01-01,2022,13.89566098,27.52888503982746,6.66,87.11279107766158,9.27,56.07522429238066
2023-01-01,2023,33.88477631,20.561624554001888,6.09,81.31107919188932,9.32,50.877051000476975
2024-01-01,2024,28.27058993,16.02988227092649,0.99,76.35923446910327,4.05,46.13530984723252
